areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,coolElectricEquivalentEfficiency,cooledAreaRatio,glazingConduction,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,lpd,opaqueConduction,q50,roofWallRatio,solTrans,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,windowToWallRatio,irr_north,irr_north_east,irr_east,irr_south_east,irr_south,irr_south_west,irr_west,irr_north_west,irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_east,cool_irr_south_east,cool_irr_south,cool_irr_south_west,cool_irr_west,cool_irr_north_west,cool_irr_horizontal,BER,SER
102.12,0.863286128,0.064259564,0.072454308,1.944027211,0.808052571,17.854326,2.478031929,0.943485971,0.092009596,0.064825227,10.6664442,16.69005794,644,643.5181654,2.469373883,1.503719231,8.172186285,0.00E+00,2.5823,0.056514029,0.00E+00,835.6822871,0.21303849,0.5,0,0,0,102.9519974,0,0,0,540.566168,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,644,0.00E+00,110.518,66.6125
339.52,0.905043,0.007246358,0.087710642,2.286,0.894872987,19.53040369,3.132304305,1,0.055154669,0.023319886,7.589709818,8.210197632,887.1263297,854.4967165,0.533815518,1.593098832,9.31637774,0.751985098,2.849699577,0.00E+00,0.00E+00,720.3385788,0.202362646,0.144733742,25.60514263,0,0,0,88.93823734,0,0,0,739.9533365,15.52342821,0.00E+00,0.00E+00,0.00E+00,101.9818069,0.00E+00,0.00E+00,0.00E+00,769.6210946,75.4253,57.2288
0,0.979483967,0.020516033,0.00E+00,2.471,0.855581588,0,3.162938706,0.985591829,0.074415185,0.097911319,6.635042772,10.76721622,0,0,0.928671574,2.04276,10.28411852,0,0,0.014408171,0.00E+00,455.7808378,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2194,66.4983
0,1,0.00E+00,0.00E+00,2.286,0.954927885,0,3.248435096,1,0.084387019,0,7.739405887,6.089018448,823,823,1.830621302,1.461795793,8.505173378,1,0,0.00E+00,0.00E+00,72.86046815,0.00E+00,0,0,0,0,0,0,0,0,0,823,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,823,89.3127,74.974
0,1,0.00E+00,0.00E+00,2.279,0.592230095,0,2.373555362,1,0.048567311,0,7.816950885,26.22329073,0,0,7.371867771,1.868108525,10.21538529,0,0,0.00E+00,0.00E+00,98.56782869,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.1038,48.1921
132.26,0.859619188,0.012157289,0.128223523,2.379,0.546615181,10.88358658,2.349107424,1,0.792844087,0.034898769,7.076929399,34.74855855,741.1685178,686.6351118,3.735102012,3.988926282,17.92869923,0.481129855,1.989523234,0.00E+00,0.00E+00,119.4384164,0.460098796,0.331543929,81.49960769,0,0,0,158.165869,0,0,0,446.9696352,52.26273458,0.00E+00,0.00E+00,0.00E+00,162.8163922,0.00E+00,0.00E+00,0.00E+00,526.089391,94.4524,57.7653
0,0.897075012,0.102924988,0.00E+00,2.279,0.866662324,0,3.294452794,0.923137051,0.069332986,0.196428239,7.816950885,6.821797348,0,823,1.157907415,1.821379832,8.701070344,1,0,0.076862949,0.00E+00,208.075398,0.00E+00,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,95.5361,65.9979
0,1,0.00E+00,0.00E+00,0,0.00E+00,0,0.8,1,0.222857143,0,0,62.27678571,0,0,8.706174778,0.464,31.25,0,0,0.00E+00,0.00E+00,41.1,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.329,55.629
0,0.894432625,0.105567375,0.00E+00,2.279,0.827969857,0,3.149297137,0.936414502,0.053266276,0.299551052,7.614328081,9.802079053,0,0,0.615308113,1.826592339,6.007934245,0,0,0.063585498,0.00E+00,377.4185117,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1867,50.3946
0,0.8392845,0.1607155,0.00E+00,2.279,0.838845301,0,3.098086237,0.935908895,0.073500844,0.387842241,7.743380183,9.343150164,823,823,3.821246678,1.394138807,9.90184456,1,0,0.064091105,0.00E+00,286.9148664,0.00E+00,0,0,0,0,0,0,0,0,0,823,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,823,97.4327,64.346
0,0.920077675,0.079922325,0.00E+00,2.286,0.963311964,0,3.317324937,0.981173245,0.079454507,0.107324252,7.769151341,4.618226081,0,0,1.515243787,1.924048463,7.865218708,0,0,0.018826755,0.00E+00,865.2558812,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.511,72.8397
0,0.886571431,0.113428569,0.00E+00,2.279,0.917637005,0,3.306459395,0.93870313,0.079303493,0.260662309,7.793990046,4.829345412,823,823,1.992806621,1.487906728,7.966154546,1,0,0.06129687,0.00E+00,646.976188,0.00E+00,0,0,0,0,0,0,0,0,0,823,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,823,89.5084,73.2007
0,1,0.00E+00,0.00E+00,2.471,0.62971712,0,2.514090002,1,0.073828619,0,6.64937066,24.0466164,0,0,2.311144829,0,16.04122301,0,0,0.00E+00,0.00E+00,128.9169865,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7468,54.8299
0,0.849001359,0.150998641,0.00E+00,2.279,0.585965525,0,3.150495374,0.63919105,0.053693987,0.422376484,7.816950885,8.376794461,0,0,0.396790288,0,9.41498798,1,0,0.36080895,0.00E+00,319.4761669,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9029,48.6949
